chn_1,chn_2,chn_3,chn_4,marker
34.7326230339929,-13607.6841811277,5666.74115788966,3317.79325166213,-600
34.7326230339929,-13925.1437189165,5953.85888733791,3609.00991146182,-300
35.7326230339929,-14048.7006637026,6302.81773250347,3853.0701727202,0
35.7326230339929,-14451.51780813,5927.28315825278,3479.33636029818,0
36.7326230339929,-14237.8236645618,5690.89530175348,3036.995953139,0
36.7326230339929,-14106.8561080135,5859.21697905922,2684.19249081899,0
37.7326230339929,-14041.7126606354,6326.60349622165,2883.45436045815,0
37.7326230339929,-14393.7382237646,6695.98780499521,2701.46334881437,0
38.7326230339929,-14451.4617096307,6455.21117589792,3033.28036253302,0
38.7326230339929,-14420.1961460011,6773.99650822097,2767.20331023549,0
39.7326230339929,-14590.1596393874,6760.48798958102,2346.21960177327,0
39.7326230339929,-14913.5656181057,6885.85130604572,2642.96383370747,0
40.7326230339929,-15018.0752524175,7226.32057831186,2861.60399496703,0
40.7326230339929,-15420.544586149,7001.51519197534,2499.67330680516,0
41.7326230339929,-15223.9380454784,6635.09101401671,2065.60555834797,0
41.7326230339929,-15087.2708813976,6730.30512698862,1704.17414683019,0
42.7326230339929,-15020.9979842328,6420.28799011169,1899.12017192048,0
42.7326230339929,-15377.8667178047,6711.197978115,1727.26802905657,0
43.7326230339929,-15434.9432009785,6354.77990248782,2056.72516590318,0
43.7326230339929,-15389.7053711144,6793.28691219242,1773.87092240442,0
44.7326230339929,-15570.3874177737,6876.41179855756,1371.28378182425,0
44.7326230339929,-15888.9502260494,6862.81726221863,1659.63941815783,0
45.7326230339929,-16007.7313185921,7130.65393744532,1872.26582028865,0
45.7326230339929,-16402.7694711117,7242.7929676667,1516.27783315637,0
46.7326230339929,-16205.9647157434,7607.37898479711,1083.39937288509,0
46.7326230339929,-16071.6873477343,7626.91248226568,723.99124724333,0
47.7326230339929,-15981.8082020492,7625.70636452997,904.48255900488,0
47.7326230339929,-16370.4698251444,7695.7752601498,758.854594630271,0
48.7326230339929,-16421.7532032868,7235.002756059,1085.65640250834,0
48.7326230339929,-16364.8543653609,6820.1711830239,776.993109415367,0
49.7326230339929,-16554.4373739148,7013.49970138335,392.163013824809,0
49.7326230339929,-16871.8108940045,6800.47499990726,688.723990661174,0
50.7326230339929,-16980.0043297727,7074.29551506305,882.153486319434,0
50.7326230339929,-17382.5148024037,7302.1620095133,531.427538424812,0
-149.267376966007,2424.7209035214,-13005.3432839347,-2828.23304887015,0
-48.2673769660071,2554.75722498074,-13044.3672700223,-3202.59329453475,0
-48.2673769660071,2645.44792895624,-12954.4862543872,-3036.06302930779,0
-47.2673769660071,2263.11795648607,-12871.7129186179,-3160.23518763661,0
-47.2673769660071,2200.24088848103,-12471.046216665,-2838.87119429411,0
-46.2673769660071,2264.39513232093,-12783.4082708142,-3155.24616109572,0
-46.2673769660071,2080.94181979448,-12537.5977363765,-3521.32439830844,0
-45.2673769660071,1744.61448672926,-12879.7911025222,-3227.45988934013,0
-45.2673769660071,1649.39850380737,-12585.8873246044,-3044.21040136126,0
-44.2673769660071,1252.67365640774,-12190.9407996337,-3379.62519883729,0
-44.2673769660071,1437.32373692002,-12050.382269649,-3804.52271260313,0
-43.2673769660071,1574.15171669889,-12166.8184449195,-4177.55903368342,0
-43.2673769660071,1670.76642220421,-11864.8215234975,-4025.35258528675,0
-42.2673769660071,1278.39855825296,-11883.2816696788,-4126.82729078449,0
-42.2673769660071,1211.51979729533,-11602.4750214058,-3810.03719508779,0
-41.2673769660071,1296.96155168302,-11792.0785994094,-4146.25981095425,0
-41.2673769660071,1100.52704641037,-11460.6206160865,-4503.22765187492,0
-40.2673769660071,759.655734898989,-11949.5152978941,-4209.84185010093,0
-40.2673769660071,663.785269484856,-11664.5087419708,-4029.50200428759,0
-39.2673769660071,275.23958328832,-12089.4473946362,-4370.74730579454,0
-39.2673769660071,451.467409100384,-12072.3841010883,-4786.07815547372,0
-38.2673769660071,587.663345786743,-12242.4579215233,-5153.70658121809,0
-38.2673769660071,698.070802328643,-11784.5744901483,-5008.40772803958,0
-37.2673769660071,296.491564786528,-11863.7593919101,-5099.21249896373,0
-37.2673769660071,226.482507565991,-11683.9599616404,-4782.30272646846,0
-36.2673769660071,315.054558216595,-11779.9501038531,-5140.66181017264,0
-36.2673769660071,115.291541983374,-11351.2098428828,-5479.95862380267,0
-35.2673769660071,-227.457199305761,-11002.686696062,-5183.83521526112,0
-35.2673769660071,-309.299299986101,-10748.1902439773,-5014.88336481285,0
-34.2673769660071,-698.873458670452,-10975.00769649,-5360.5941068669,0
-34.2673769660071,-528.191904492676,-11104.5017324557,-5754.09142060477,0
-33.2673769660071,-397.321585343219,-11370.1748755581,-6133.26491751234,0
-33.2673769660071,-274.542539747897,-11687.6119739471,-6009.88935787409,0
-32.2673769660071,-690.74478611676,-11857.5081491342,-6070.666472054,0
-32.2673769660071,-756.598814486525,-11806.5482723379,-5759.78167838735,0
-31.2673769660071,-652.300484522245,-11769.657899175,-6133.79224340609,0
-31.2673769660071,-858.133358383551,-12251.6487256644,-6457.54229292033,0
-30.2673769660071,-1211.76520854374,-12052.6505189721,-6151.71384399376,0
-30.2673769660071,-1287.59728999529,-11800.7009387572,-6006.17002736815,0
-29.2673769660071,-1673.68960182089,-11842.4232626629,-6342.63199683177,0
-29.2673769660071,-1502.64527734742,-12111.998991369,-6738.97537443592,0
-28.2673769660071,-1376.31519674417,-12449.8409839162,-7112.0715339155,0
-28.2673769660071,-1251.25107227592,-12559.2311876702,-6992.17034133609,0
-27.2673769660071,-1674.42449216219,-12817.9537267049,-7044.8281327122,0
-27.2673769660071,-1740.08778563421,-12883.7553964753,-6730.00148449225,0
-26.2673769660071,-1633.08924790192,-12738.7108564937,-7126.78430034119,0
-26.2673769660071,-1847.57251036074,-13120.1769120741,-7428.64471541477,0
-25.2673769660071,-2197.83845056081,-13079.4737109064,-7127.30788633499,0
-25.2673769660071,-2264.80696911737,-12845.7187439759,-6985.7882020617,0
-24.2673769660071,-2646.48245909531,-12702.1757738266,-7322.71391911983,0
-24.2673769660071,-2492.11808842421,-13116.1976585213,-7705.42536138549,0
-23.2673769660071,-2361.01215557754,-13525.1351492262,-8091.91036270644,0
-23.2673769660071,-2220.1132946969,-13454.929747258,-7988.98831592585,0
-22.2673769660071,-2647.6810970311,-13773.9656528781,-8013.05831204067,0
-22.2673769660071,-2726.38916154858,-13981.3711546708,-7700.09413399865,0
-21.2673769660071,-2606.75724176597,-13713.2390273476,-8119.59684207841,0
-21.2673769660071,-2825.27585627697,-14002.5202889202,-8408.27036990822,0
-20.2673769660071,-3179.87260062573,-14119.687614632,-8104.1772345611,0
-20.2673769660071,-3245.36759859975,-13890.7458989445,-7967.43714243119,0
-19.2673769660071,-3629.84053374454,-13554.272709781,-8305.46612997624,0
-19.2673769660071,-3472.00927581452,-13138.1508712612,-8684.40027328666,0
-18.2673769660071,-3349.837963962,-12649.1552121548,-9068.54035733539,0
-18.2673769660071,-3198.59453980392,-12369.9006223634,-8982.70217355239,0
-17.2673769660071,-3640.16452757223,-12775.6797675557,-8988.23348558686,0
-17.2673769660071,-3713.54697455279,-13107.7024757719,-8673.6686303638,0
-16.2673769660071,-3576.51330027636,-12726.5767510875,-9119.88544382706,0
-16.2673769660071,-3806.19177625515,-12910.112341413,-9377.59633992371,0
-15.2673769660071,-4163.52238747152,-13183.5513867733,-9079.23273130871,0
-15.2673769660071,-4221.91157552972,-12979.0461773963,-8958.55550948848,0
-14.2673769660071,-4604.7987930933,-13445.1162497743,-9288.18468173306,0
-14.2673769660071,-4455.32621156424,-13153.7499939764,-9657.52972155708,0
-13.2673769660071,-4333.22969771083,-12750.3419453559,-10045.8173546567,0
-13.2673769660071,-4173.12271065777,-12276.1749895738,-9973.05760101873,0
-12.2673769660071,-4621.51801584521,-12750.9739884484,-9955.33421512871,0
-12.2673769660071,-4695.99999341276,-13196.8691705155,-9648.50721291398,0
-11.2673769660071,-4555.09926258214,-12722.3618838374,-10101.0145381027,0
-11.2673769660071,-4792.57916986849,-12807.6016836275,-10356.2683199285,0
-10.2673769660071,-5151.99290536018,-13232.1139876979,-10055.159624746,0
